Origin	DepDelay	ArrDelay	LateAircraftDelay	SecurityDelay	NASDelay	WeatherDelay	CarrierDelay
ORF	9.86784277314	8.30355922728	20.9637526652	0.0581784952787	21.0880292415	3.62290587877	17.1769722814
PIT	9.86163629276	8.49926664711	20.7178634521	0.0549724618102	22.4292840071	3.27382313208	11.5976306765
RDU	9.80985748219	8.15414186086	20.3718658668	0.013613290263	23.8913244116	2.53968620212	12.8151822796
GST	9.79518072289	9.18072289157	32.15	1.2	6.05	0.0	1.95
CMH	9.73867992333	7.90573635025	20.8872416251	0.0135424091233	22.640769779	3.87013542409	14.2598717035
STL	9.73494073978	7.27958533997	24.8414302371	0.050058297707	17.5419354839	3.00870579091	10.2640497474
CSG	9.69204152249	10.3206371191	13.7679180887	0.0409556313993	13.9488054608	7.59385665529	25.4675767918
BOS	9.60378514118	9.2095236423	19.0090637663	0.0634463638302	24.9698585342	3.35981374849	12.0902111324
JAC	9.5720512122	10.5405257393	28.7661388551	0.00852618757613	14.8051157125	6.47137637028	17.790499391
VPS	9.50246673643	11.1112779697	19.5473251029	0.0233196159122	19.3333333333	5.1316872428	24.1015089163
MDT	9.45230063419	7.92493224932	19.6287625418	0.0602006688963	24.1244147157	5.28026755853	21.3043478261
CLT	9.44753215771	7.8781729169	15.2923283532	0.116602316602	20.5154272285	1.49706227967	15.3275474232
ILM	9.39316751573	11.6524609844	11.2583436341	0.00247218788628	19.673671199	7.3955500618	20.1137206428
PIA	9.36917834154	8.17744075829	19.272	0.0311111111111	36.368	2.38844444444	14.1804444444
TYS	9.34386373562	8.23758399065	17.4416033172	0.0725639253628	24.8749136144	5.19315825847	16.991015895
MSN	9.26776202266	9.21759085095	21.3777852802	0.052667116813	30.0141796084	2.90918298447	12.1688048616
DTW	9.24328663347	9.75410681492	10.2695985632	0.0650696568128	18.8394980826	3.94257560313	18.7857385564
ATW	9.23148813803	9.16588616715	18.0113085622	0.0468497576737	25.9264943457	6.03150242326	17.6688206785
GSO	9.23048752575	8.13276641385	15.95110957	0.0766296809986	24.8117198336	3.3567961165	18.2635228849
MEI	9.22205438066	10.7673716012	6.86075949367	0.449367088608	28.0379746835	3.70886075949	23.4493670886
RST	9.19662742603	9.86694320357	30.8370273794	0.0	27.0260756193	0.799217731421	6.07301173403
BHM	9.15619366469	8.15661043209	23.0828821324	0.0603915035402	19.885880883	3.08912952936	12.1992919617
MAF	9.13080793134	7.84673590504	33.0248138958	0.0893300248139	10.858560794	3.78990901572	9.31265508685
CLE	9.09410979735	8.20254287404	17.76766314	0.0222253781155	21.8087055315	2.98501739686	15.578924945
CVG	9.07038300252	8.9240978847	7.31001462333	0.0303787914524	21.1393461956	5.06641822727	16.860134912
MCI	9.06659036165	6.67187473232	25.5517241379	0.0315879097488	15.6253724989	2.62954448702	12.016091954
SIT	9.06183206107	5.69416342412	36.4081632653	0.224489795918	6.74693877551	6.34285714286	16.3959183673
DSM	9.05375341785	8.67246865057	24.0490674319	0.0220946915352	22.0447632712	4.51535150646	15.1678622669
LEX	9.04247910864	6.89914291409	16.9509394572	0.05375782881	33.5803757829	4.2990605428	16.4128392484
TPA	9.02305855013	6.2972378265	25.0145112529	0.0119583473295	17.1507557944	3.22196842459	11.5160900235
ALB	9.01256433545	7.24941158606	19.6704304869	0.0218772053634	23.5289343684	4.26605504587	13.5366972477
STT	8.98436969079	7.97016996185	25.578125	0.0639204545455	13.8579545455	0.613636363636	16.0894886364
KTN	8.97621107266	7.08322440087	35.7653429603	0.12274368231	6.68953068592	3.64259927798	10.3176895307
JAX	8.95144756461	7.11437470799	23.1922061792	0.0197174351809	22.1563421829	2.74351808725	10.5845365626
CRW	8.94882600843	7.1891973446	11.7985611511	0.0431654676259	26.8575539568	7.66618705036	18.5194244604
MSY	8.94835401072	7.35247987536	25.406733394	0.0757831795138	18.6058754712	1.44572988431	10.2129208371
OMA	8.81259421164	7.46910218592	23.2156936362	0.125211188286	20.8776046555	3.47193542332	13.714848883
ICT	8.80510031601	8.65363911216	20.1979166667	0.0129310344828	25.0542385057	3.75323275862	15.1300287356
AEX	8.75443262411	10.6746666667	11.2738336714	0.166328600406	21.8377281947	10.7363083164	21.9513184584
GRK	8.73020283412	7.3427935448	26.1184573003	0.034435261708	12.0688705234	4.43801652893	16.8415977961
MLB	8.70852475753	11.5235655738	13.966873706	0.302277432712	23.215320911	2.24430641822	15.8281573499
LBB	8.69686924494	6.64862870496	31.8486111111	0.0381944444444	6.47013888889	6.02013888889	9.80277777778
LAX	8.688356969	5.26227778458	20.7552503634	0.106786627237	12.7194376222	0.826199188011	17.2358779009
ISP	8.67704934243	3.96727813585	23.8918918919	1.10120759057	11.0914318574	3.81368602645	12.4157561817
RSW	8.66955519191	6.45544074309	24.0347168348	0.0461598138092	25.467416602	1.10550814585	11.5628394104
AZO	8.65567867036	8.0185852982	22.2990654206	0.0667556742323	31.5353805073	2.00133511348	14.8170894526
ITH	8.62295081967	17.8583333333	3.21276595745	2.10638297872	22.6808510638	11.4255319149	3.44680851064
SEA	8.59865306765	5.15926548582	17.0861996152	0.158697386326	13.9082633382	2.23185209516	16.681713669
OAJ	8.57006920415	9.4683982684	11.970212766	0.0	24.5531914894	9.37446808511	23.1404255319
GSP	8.5608007693	7.117487058	21.4079470199	0.0282560706402	26.0918322296	3.41280353201	14.7139072848
CDV	8.34604519774	7.65439093484	56.5868263473	0.467065868263	3.15568862275	0.209580838323	6.19161676647
GCC	8.30194174757	13.2631578947	14.2423208191	0.201365187713	13.1911262799	7.90784982935	17.385665529
PHX	8.29481144014	4.35469909839	17.2377461828	0.143173268422	11.3358873645	1.21348749723	18.5140794424
WRG	8.25574712644	4.56058394161	43.0633802817	0.725352112676	4.40845070423	3.77464788732	8.76056338028
MFR	8.23011569053	7.11012658228	18.0515789474	0.127368421053	33.5452631579	1.96842105263	16.6515789474
EWN	8.12982005141	11.88	9.42458100559	0.0446927374302	17.9608938547	11.0	20.9664804469
AMA	8.11276971095	5.7845484222	33.8816120907	0.0293870696893	7.75902602855	6.67170445004	9.6725440806
MGM	8.05605499736	8.49894123875	10.263681592	0.0	21.9402985075	6.50621890547	19.5721393035
ABE	8.0122238902	7.74105988798	16.3292547275	0.0222469410456	28.0444938821	4.93548387097	19.3381535039
OKC	7.97019506482	6.5775753896	25.4398775689	0.0793616090949	15.4344118933	2.86292085702	14.2004809794
TUL	7.94451417442	6.45027792253	23.796107287	0.173985283646	15.9337764064	3.30548302872	13.78447662
PHF	7.92055926279	8.65433673469	20.4713083397	0.000765110941086	27.363427697	2.59525631217	11.6893649579
MEM	7.87532876109	6.82204887408	14.4419070262	0.0585622223613	18.0383532503	4.22229869236	19.0799599575
CHO	7.86600496278	9.1699751861	7.61016949153	0.254237288136	29.5649717514	8.15254237288	18.384180791
BET	7.85898709037	5.72095332671	36.2666666667	0.480952380952	2.09523809524	2.2380952381	7.16666666667
DBQ	7.84792993631	9.78531524342	25.8975265018	0.0	30.0212014134	2.61130742049	6.91872791519
GRR	7.83726546535	7.97721911856	20.058685446	0.131455399061	24.4556924883	4.46244131455	15.3811619718
SAN	7.83449505592	4.61124530182	26.1267189385	0.173160434258	12.9396863691	1.26489746683	10.3755126659
FLO	7.82861896839	9.06489184692	12.0166666667	0.4	19.7666666667	7.625	15.1166666667
TOL	7.82306590258	6.31801866475	24.3965517241	0.0	24.1724137931	1.59655172414	9.86206896552
SAT	7.76956094071	6.46787962984	22.4599950763	0.145617922206	16.8796159527	1.81265386509	12.2661250615
RNO	7.71998668387	4.80005836495	29.3678467507	0.0143064985451	12.2170223084	1.57904946654	10.1993210475
JAN	7.7141238365	6.32142277083	23.2614349776	0.042600896861	15.7762331839	4.90627802691	16.6278026906
BDL	7.59344580317	5.98315270251	18.7160681167	0.0600236047884	22.3001180239	3.96358118361	13.2674085314
MRY	7.55846610856	6.45542949757	20.6021671827	0.078173374613	24.2113003096	1.42492260062	16.3924148607
IND	7.5549022875	6.36194181245	18.6935747664	0.0522196261682	24.2349299065	1.97943925234	12.1324766355
OAK	7.53839158114	2.65751151174	25.8200929643	0.167441369111	5.74244665117	1.00359180224	12.6778998521
ROW	7.51422550053	5.56329113924	22.3260869565	0.0942028985507	5.8768115942	8.99275362319	27.2536231884
LFT	7.50699745547	8.23852040816	21.2494577007	0.0433839479393	21.2581344902	9.18763557484	15.8481561822
MSP	7.46491842036	7.56545200758	9.90990901899	0.0127241561181	18.7467695148	3.9694092827	16.6618209388
ABQ	7.44011073817	4.46167820494	29.4228025114	0.0089897260274	9.51298515982	1.28809931507	10.4833047945
AUS	7.42466201706	6.03703172391	22.3976010662	0.0406486006219	16.2980897379	1.86994669036	12.1317192359
CHA	7.36736533694	7.41333333333	16.6128640777	0.0	23.1504854369	7.29490291262	19.479368932
SMF	7.35021121133	4.14274271984	28.2556980057	0.0486704653371	8.89779202279	0.9767331434	11.8308404558
HSV	7.30132041417	8.23878464616	19.6359180036	0.0472370766488	17.6381461676	5.72192513369	14.3926024955
FAR	7.29233964006	7.59260115607	22.3133802817	0.0093896713615	34.7476525822	2.91666666667	9.25469483568
YAK	7.21579689704	5.70170454545	57.5095541401	0.31847133758	3.77707006369	0.305732484076	5.84713375796
MBS	7.19891304348	7.43666061706	23.1883495146	0.0	37.9145631068	1.47184466019	17.5436893204
TLH	7.19782496116	6.1821799308	16.0017873101	0.00714924039321	17.9151027703	5.80339588919	18.4316353887
GPT	7.18191603875	7.22941176471	23.506675143	0.0247933884298	20.6795931341	3.89383343929	16.3852511125
MYR	7.1552818934	5.96259159275	16.1002979146	0.0	23.7040714995	3.36941410129	18.9841112214
LCH	7.09005235602	6.95287958115	15.1034482759	0.572413793103	19.275862069	16.4068965517	31.0827586207
DAY	7.06991964749	6.46493793462	18.7832561218	0.0122435473197	23.4731965586	2.45102581072	15.9394440768
PNS	7.06582768635	7.2658528681	28.1083798883	0.0	17.0810055866	2.8843575419	10.6905027933
SBP	7.03290389972	5.15274629468	18.0681044268	0.0	32.9852440409	2.16685584563	16.4211123723
ANC	6.96947925953	3.42759202616	17.5839749073	0.109780439122	8.44083262047	2.34217279726	18.8431708013
SWF	6.95352716873	6.72961989003	13.4101382488	0.0126728110599	20.5126728111	3.97235023041	21.2373271889
SBA	6.8883589329	5.48534887486	17.5167082294	0.416957605985	27.7206982544	2.06783042394	14.7221945137
ABI	6.8803974016	5.03749043611	14.3223684211	0.0	15.3684210526	13.8157894737	43.0361842105
BOI	6.87465246968	4.37197180596	29.3456186536	0.140278300113	17.9469725461	0.869875893193	11.3745769086
BUR	6.8713679505	3.3167040906	27.6942254421	0.0296185808651	12.9347965054	1.2147879821	8.97251225229
PDX	6.8466794827	3.31018356337	23.0547337278	0.0680473372781	11.7924442421	2.08397815203	16.3610605371
ONT	6.83975355559	4.28496453083	25.5428771439	0.129331466573	9.96622331117	0.655407770389	12.5376268813
MOB	6.81896551724	7.51019409558	17.2767346939	0.00979591836735	20.1346938776	6.5412244898	15.4318367347
SHV	6.8065796211	6.23925593329	23.5941719972	0.0867093105899	15.0405117271	6.28216062544	16.2444918266
GGG	6.78913738019	5.11940298507	23.0073529412	0.0	9.54411764706	6.68382352941	28.5441176471
LGB	6.69998040368	3.55257813012	21.8611563518	0.0940553745928	16.8395765472	1.04763843648	18.1889250814
ELP	6.62983882748	4.06713177538	27.749526216	0.200252684776	9.71036007581	1.22425773847	10.8986102337
EVV	6.62562544675	5.13236611141	25.0396432111	0.00792864222002	22.1565906838	4.85926660059	12.9425173439
MTJ	6.62316407889	2.48042105263	29.5458715596	0.346330275229	9.06422018349	3.89449541284	17.5183486239
COS	6.50843207322	6.63029541169	16.8441775108	0.21988655322	16.9142475809	3.10977644311	19.8391725058
RDM	6.49941348974	4.71017048795	15.0650994575	0.0506329113924	29.1012658228	2.66184448463	13.8878842676
LRD	6.45445783133	6.15113471753	27.2144927536	0.00289855072464	15.8811594203	2.69855072464	14.5101449275
OTZ	6.45324427481	2.86305418719	36.0427807487	0.941176470588	2.85026737968	3.67914438503	4.87165775401
LSE	6.34089709763	8.13590692755	25.0388127854	0.0	27.0228310502	0.305936073059	8.80365296804
ALO	6.32713754647	6.38059701493	4.25806451613	0.0	10.7741935484	0.0	71.7096774194
DCA	6.31312469473	5.66548437948	17.7757147067	0.0251105216622	24.333510168	2.85116416151	11.4209843796
BQK	6.2414553473	6.3289183223	11.9315068493	0.027397260274	21.4315068493	7.72602739726	18.2191780822
TRI	6.23155339806	3.70316301703	9.43548387097	0.0215053763441	19.2419354839	4.65591397849	30.0940860215
CRP	6.21484222828	4.65052713784	34.2784163474	0.0	12.3116219668	5.15836526181	6.02681992337
SNA	6.15704303841	3.45713794511	24.4407920792	0.105874587459	16.3271287129	1.00620462046	9.42257425743
SJC	6.1502635736	2.85741475302	29.7129606728	0.124536235469	8.0720999258	1.23633440514	11.3122681177
CLL	6.08358433735	5.66061980348	27.6269430052	0.0	13.0880829016	7.05699481865	18.8652849741
PSP	6.07678646934	6.03593220339	17.6031073446	0.0306026365348	14.8050847458	1.24105461394	20.1605461394
TXK	6.03098827471	5.87929589271	29.1888888889	0.0	9.56666666667	12.9222222222	12.8444444444
BGM	5.98	4.67381974249	30.2434782609	0.0	19.2695652174	6.30434782609	15.8782608696
GEG	5.95030247837	3.57604587515	22.0999585234	0.162588137702	10.5557859809	4.25715470759	15.6968063044
FAT	5.77932109702	4.45675944334	12.8687615527	0.039741219963	20.7975970425	3.43438077634	21.8484288355
SUX	5.74774774775	3.54954954955	35.8421052632	0.0	9.84210526316	8.15789473684	6.21052631579
ADQ	5.73906485671	3.69230769231	32.7983870968	2.22580645161	3.43548387097	1.1935483871	9.12096774194
OME	5.73043478261	3.23870333988	36.9144385027	0.903743315508	4.41711229947	2.24064171123	5.48128342246
EUG	5.46907034288	4.1403539823	24.4600484262	0.136803874092	29.1707021792	1.50968523002	11.4769975787
FNT	5.44954556048	5.92609051573	17.2842609216	0.0586475164572	22.2345900658	3.69539198085	14.7707959306
FSM	5.4128601546	4.00915815428	24.7843601896	0.0118483412322	15.9526066351	6.09004739336	18.5781990521
BQN	5.33973509934	2.26542800265	26.6462264151	0.278301886792	10.1273584906	0.0	23.2358490566
TUS	5.32408527366	3.61149416578	21.5108641975	0.0402469135802	11.7622222222	1.54419753086	16.1180246914
MLU	5.3167752443	6.47407104941	12.4220183486	0.045871559633	18.2064220183	8.47018348624	21.6949541284
TYR	5.24234527687	3.48890339426	27.7386934673	0.0	12.8542713568	7.78391959799	16.5376884422
SLC	5.20980677693	3.05527532271	16.0872222983	0.120888645591	12.6477806669	3.3999361343	16.985037179
ACT	5.20739968734	3.0854611777	27.02734375	0.0	8.6796875	10.3515625	11.390625
GJT	4.87682301931	2.67417061611	15.0127478754	0.21104815864	9.18555240793	6.98866855524	28.6487252125
BRO	4.81148121899	5.24307036247	23.2152466368	0.0	23.3139013453	4.07623318386	12.0179372197
RHI	4.60869565217	4.63768115942	26.0967741935	0.0	15.3548387097	5.51612903226	17.935483871
LAW	4.54411764706	2.2341991342	26.4307692308	0.0461538461538	9.21846153846	9.27076923077	17.7353846154
BZN	4.42096145518	4.58962673611	23.435105068	0.0	19.3955500618	4.25339925834	13.9678615575
ERI	4.38863976084	2.22587883321	35.181372549	0.176470588235	11.8382352941	0.598039215686	12.362745098
SCE	4.34683954619	4.62560777958	6.04854368932	0.0776699029126	19.3106796117	11.7087378641	25.9514563107
SPS	4.30904951622	1.63346613546	30.9124423963	0.0	7.10138248848	8.96774193548	14.1843317972
RKS	3.90820734341	8.511375948	13.6568627451	0.28431372549	11.112745098	5.56862745098	17.2254901961
MFE	3.78685657171	5.45941883768	25.9153713299	0.0	21.2953367876	3.18307426598	11.4905008636
FAI	3.71918384518	2.84255946117	23.5701415701	0.0913770913771	7.35392535393	1.32303732304	19.1943371943
SJT	3.70942812983	0.477184841454	31.5773809524	0.0	7.13095238095	7.54761904762	9.44642857143
MOT	3.52234636872	4.3137254902	20.0336134454	0.0	16.6722689076	7.54621848739	47.8907563025
GFK	3.41648106904	2.56728624535	15.2590673575	0.134715025907	13.829015544	5.43005181347	31.6269430052
ELM	3.39678899083	-0.3797856049	39.4189944134	0.0	13.7765363128	3.62569832402	12.2905027933
BIS	3.30093209055	3.20240213523	23.7905027933	0.122905027933	10.9636871508	4.1843575419	13.0223463687
PLN	3.29482071713	-0.052	5.31818181818	0.909090909091	13.0	1.72727272727	76.0454545455
LYH	2.9131147541	3.5262295082	6.09523809524	0.0	25.2142857143	4.89285714286	21.2976190476
YUM	2.88121693122	3.3966657846	7.26781857451	1.62634989201	8.77537796976	1.51403887689	32.3909287257
MKG	2.85933503836	4.68461538462	13.3246753247	0.0	10.9350649351	7.76623376623	16.1038961039
FLG	2.85924250989	5.27133973997	0.0	0.0833333333333	13.7368421053	9.5350877193	43.298245614
HNL	2.82410691892	3.76078614209	12.4326962739	0.151794307713	6.5165681287	0.599477519593	29.3013886979
IDA	2.5805710535	0.568226763349	24.5180722892	0.0506024096386	7.97590361446	8.11807228916	16.334939759
DLH	2.48909183156	0.891315388522	16.8023255814	0.0	13.0620155039	10.1124031008	19.7131782946
DRO	2.34857780257	0.51187482537	12.8189845475	0.0353200883002	9.37086092715	14.3046357616	25.4039735099
