,Month,UniqueCarrier,Distance,Cancelled,CancellationCode,Total Flights,Percentage Cancelled
583,Oct-08,ExpressJet,533.4375,64.0,National Airspace System Delay,24095,0.00265615272878
584,Oct-08,Mesa Airlines,341.299435028,177.0,Carrier Delay,20675,0.00856106408706
585,Oct-08,Mesa Airlines,238.75,40.0,Weather Delay,20675,0.00193470374849
586,Oct-08,Mesa Airlines,206.307692308,13.0,National Airspace System Delay,20675,0.000628778718259
587,Sep-08,Pinnacle Airlines,501.245454545,110.0,Carrier Delay,20854,0.00527476743071
588,Sep-08,Pinnacle Airlines,470.090909091,110.0,Weather Delay,20854,0.00527476743071
589,Sep-08,Pinnacle Airlines,515.023255814,43.0,National Airspace System Delay,20854,0.0020619545411
590,Sep-08,American Airlines,970.105740181,331.0,Carrier Delay,48215,0.00686508348024
591,Sep-08,American Airlines,650.965156794,287.0,Weather Delay,48215,0.00595250440734
592,Sep-08,American Airlines,889.441860465,86.0,National Airspace System Delay,48215,0.00178367727886
593,Sep-08,Alaska Airlines,815.52173913,46.0,Carrier Delay,12082,0.00380731666943
594,Sep-08,Alaska Airlines,484.333333333,21.0,Weather Delay,12082,0.00173812282735
595,Sep-08,JetBlue Airways,753.3,10.0,Carrier Delay,14078,0.000710328171615
596,Sep-08,JetBlue Airways,807.493150685,146.0,Weather Delay,14078,0.0103707913056
597,Sep-08,Continental Express,851.727272727,44.0,Carrier Delay,21514,0.00204517988287
598,Sep-08,Continental Express,1001.83002383,1259.0,Weather Delay,21514,0.0585200334666
599,Sep-08,Continental Express,1024.0,1.0,National Airspace System Delay,21514,4.64813609742e-05
600,Sep-08,Delta Air Lines,649.917197452,157.0,Carrier Delay,36304,0.00432459233142
601,Sep-08,Delta Air Lines,624.307189542,153.0,Weather Delay,36304,0.00421441163508
602,Sep-08,Delta Air Lines,579.203703704,108.0,National Airspace System Delay,36304,0.00297487880123
603,Sep-08,Atlantic Southeast Airlines,357.107142857,28.0,Carrier Delay,20869,0.00134170300446
604,Sep-08,Atlantic Southeast Airlines,438.816091954,174.0,Weather Delay,20869,0.00833772581341
605,Sep-08,Atlantic Southeast Airlines,311.823529412,17.0,National Airspace System Delay,20869,0.000814605395563
606,Sep-08,Frontier Airlines,739.222222222,9.0,Carrier Delay,7521,0.00119664938173
607,Sep-08,Frontier Airlines,824.333333333,24.0,Weather Delay,7521,0.00319106501795
608,Sep-08,AirTran Airways,578.543478261,46.0,Carrier Delay,19152,0.00240183792815
609,Sep-08,AirTran Airways,504.450549451,91.0,Weather Delay,19152,0.0047514619883
610,Sep-08,AirTran Airways,612.666666667,30.0,National Airspace System Delay,19152,0.0015664160401
611,Sep-08,Hawaiian Airlines,100.0,11.0,Carrier Delay,4892,0.0022485690924
612,Sep-08,American Eagle Airlines,387.484304933,223.0,Carrier Delay,39471,0.00564971751412
613,Sep-08,American Eagle Airlines,371.260215054,465.0,Weather Delay,39471,0.0117808010945
614,Sep-08,American Eagle Airlines,357.131756757,296.0,National Airspace System Delay,39471,0.00749917661068
615,Sep-08,Northwest Airlines,586.029411765,34.0,Carrier Delay,25183,0.00135011714252
616,Sep-08,Northwest Airlines,352.65625,32.0,Weather Delay,25183,0.00127069848707
617,Sep-08,Northwest Airlines,687.267857143,56.0,National Airspace System Delay,25183,0.00222372235238
618,Sep-08,Comair,525.864864865,37.0,Carrier Delay,15423,0.00239901445892
619,Sep-08,Comair,534.133333333,285.0,Weather Delay,15423,0.0184788951566
620,Sep-08,Comair,1232.63636364,11.0,National Airspace System Delay,15423,0.000713220514816
621,Sep-08,SkyWest,379.25,136.0,Carrier Delay,44047,0.00308761096102
622,Sep-08,SkyWest,607.042253521,142.0,Weather Delay,44047,0.00322382909165
623,Sep-08,SkyWest,250.936,125.0,National Airspace System Delay,44047,0.00283787772152
624,Sep-08,SkyWest,237.0,1.0,Security Delay,44047,2.27030217722e-05
625,Sep-08,United Airlines,959.167567568,185.0,Carrier Delay,34508,0.00536107569259
626,Sep-08,United Airlines,1011.88695652,115.0,Weather Delay,34508,0.00333256056567
627,Sep-08,United Airlines,604.076923077,39.0,National Airspace System Delay,34508,0.00113017271357
628,Sep-08,US Airways,487.102941176,204.0,Carrier Delay,35739,0.00570805002938
