Origin,Dest,DepDelay,ArrDelay,LateAircraftDelay,SecurityDelay,NASDelay,WeatherDelay,CarrierDelay
ABE,ATL,11.5249406176,11.548502994,10.8210526316,0.105263157895,26.8157894737,5.85789473684,25.0421052632
ABE,BHM,11.0,-3.0,,,,,
ABE,CLE,-2.42550505051,0.849557522124,17.4329896907,0.0,15.7628865979,5.19587628866,6.15463917526
ABE,CLT,-2.2,-2.91684901532,3.2037037037,0.0,16.4444444444,1.74074074074,19.0555555556
ABE,CVG,-0.700819672131,-4.49382716049,0.0,0.0,20.5882352941,4.11764705882,18.9411764706
ABE,DTW,5.78887744593,5.32783505155,23.49375,0.0,16.95,2.3,20.05
ABE,JFK,16.6666666667,24.3333333333,0.0,0.0,24.3333333333,0.0,0.0
ABE,LGA,92.7777777778,106.888888889,0.0,0.0,48.75,66.625,5.25
ABE,ORD,18.071695295,16.3861758077,18.972899729,0.0,38.3035230352,4.75609756098,20.1327913279
ABE,PHL,23.0,17.0,0.0,0.0,41.0,0.0,0.0
ABI,DFW,6.8803974016,5.03749043611,14.3223684211,0.0,15.3684210526,13.8157894737,43.0361842105
ABQ,AMA,15.0706521739,12.3614130435,35.2037037037,0.0,1.34259259259,2.14814814815,8.4537037037
ABQ,ATL,4.8548539114,1.91958372753,12.964028777,0.0,13.6330935252,1.84172661871,31.1007194245
ABQ,AUS,4.94379391101,3.1943793911,32.5774647887,0.0,8.11267605634,0.718309859155,4.66197183099
ABQ,BWI,8.15412844037,0.695009242144,12.8552631579,0.0,24.5,5.35526315789,8.43421052632
ABQ,CLE,3.58333333333,-7.18181818182,83.0,0.0,0.0,0.0,1.0
ABQ,CVG,5.11153846154,0.0115384615385,27.4242424242,0.0,7.81818181818,0.0909090909091,7.84848484848
ABQ,DAL,8.75325945241,4.01211525868,28.412371134,0.0144329896907,4.41855670103,2.69484536082,10.1278350515
ABQ,DEN,4.60994397759,2.55360896987,30.4620253165,0.0,8.35601265823,0.770569620253,7.45886075949
ABQ,DFW,7.09201141227,6.3426323319,27.0964360587,0.0,11.4905660377,2.46960167715,17.9706498952
ABQ,ELP,11.2678347935,9.08010012516,41.9681528662,0.0,2.29936305732,0.248407643312,10.1910828025
ABQ,EWR,7.23636363636,-1.57575757576,22.6071428571,0.178571428571,17.9642857143,0.0,15.4642857143
ABQ,HOU,9.87122736419,3.49696969697,33.3313253012,0.0,3.13253012048,1.96385542169,11.8915662651
ABQ,IAD,3.81767955801,-3.48199445983,2.88888888889,0.0,9.22222222222,0.511111111111,37.0222222222
ABQ,IAH,5.34682860999,7.690433213,26.2044334975,0.0,22.3719211823,1.49014778325,9.24876847291
ABQ,LAS,9.63312368973,6.59638807224,30.2809734513,0.0,10.7057522124,1.5110619469,7.60619469027
ABQ,LAX,13.0720268007,9.16457286432,38.3872053872,0.0858585858586,6.20875420875,0.646464646465,6.5101010101
ABQ,LBB,6.61475409836,3.56557377049,21.35,0.0,1.81666666667,0.266666666667,11.7666666667
ABQ,MAF,17.9561643836,14.4821917808,39.7345132743,0.0,0.955752212389,0.0,9.80530973451
ABQ,MCI,8.4379671151,3.04633781764,29.9636363636,0.0,2.13636363636,4.0,9.98181818182
ABQ,MCO,4.26611796982,-2.19060773481,18.7790697674,0.0,8.12790697674,0.0,10.2093023256
ABQ,MDW,6.75482093664,-1.40248962656,25.0,0.0,20.25,3.08823529412,14.6470588235
ABQ,MSP,3.83111111111,1.80148148148,16.0860215054,0.0,10.9677419355,3.12903225806,30.4731182796
