name,color
ATL, #3a3596
LAX, #e21e2b
ORD, #679b60
DFW, #12d813
JFK, #891c91
DEN, #7ab6a9
SFO, #b5f32c
CLT, #6f439d
LAS, #308da2
PHX, #474c55
IAH, #e5cd41
MIA, #f67cb8
SEA, #cc463b
EWR, #7ce231
MCO, #eb9c7e
MSP, #120d52
DTW, #5d9dd0
BOS, #c29d90
PHL, #fd5a1b
LGA, #0c87d1
